Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,21,11,0,2,0,4,73458,1,4,93572,1,4,80427,1,4,78863,1
3,9,7,0,5,0,4,16429,1,4,20675,1,4,28416,1,4,34292,1
3,27,15,0,5,0,4,243365,1,4,309358,1,4,210140,1,4,252359,1
3,5,5,0,4,0,4,1204,1,4,852,1,4,1059,1,4,816,1
3,15,10,0,1,0,0,38421,0,4,51227,1,4,39942,1,4,26701,1
3,21,13,0,2,0,4,47178,1,4,44216,1,4,73202,1,4,43812,1
3,7,7,0,3,0,4,6206,1,4,5482,1,4,3583,1,4,3466,1
3,27,17,0,5,0,4,307471,1,4,365854,1,4,478867,1,4,230562,1
3,21,12,0,2,0,4,84803,1,0,5880,0,4,162767,1,0,5873,0
3,21,12,0,5,0,4,187480,1,4,255784,1,4,264998,1,4,256486,1
3,27,12,0,4,0,4,119002,1,0,18759,0,4,134465,1,4,224284,1
3,13,9,0,2,0,4,13517,1,4,14898,1,4,20581,1,4,21862,1
3,11,5,0,5,0,4,3014,1,4,4419,1,0,98,0,4,5170,1
3,7,5,0,4,0,4,847,1,4,1444,1,4,1945,1,4,1889,1
3,15,9,0,1,0,4,43925,1,4,25177,1,4,49322,1,4,25177,1
3,24,17,0,6,0,4,69667,1,4,290248,1,4,133759,1,4,226528,1
4,32,16,0,16,0,4,210727,1,0,79220,0,0,1351,0,7,314472,1
3,11,6,0,1,0,4,4536,1,4,6893,1,4,5966,1,4,6893,1
4,94,31,6,6,7,8,8460110,1,0,144650,0,0,144640,0,0,120841,0
3,27,18,0,4,0,4,238702,1,4,368415,1,4,545280,1,4,299375,1
4,106,31,8,4,9,10,9415284,1,13,18773998,1,4,9963118,0,13,18773998,1
3,15,8,0,3,0,4,22959,1,4,35556,1,4,46561,1,4,35556,1
3,15,11,0,3,0,4,28984,1,4,22790,1,0,4169,0,4,23902,1
3,15,11,0,2,0,4,37707,1,4,38447,1,4,19922,1,4,38241,1
4,110,41,12,5,20,11,12961672,1,15,25389642,1,25,49051965,1,2,6885945,0
3,24,15,0,5,0,4,185893,1,4,316689,1,4,408531,1,4,404424,1
3,27,19,0,3,0,4,262853,1,4,263708,1,4,472282,1,4,295726,1
3,11,7,0,7,0,4,11804,1,4,10083,1,0,433,0,4,54073,1
3,24,13,0,4,0,4,136974,1,4,111976,1,4,285342,1,4,198482,1
3,27,15,0,5,0,4,323610,1,4,727359,1,4,452597,1,0,19392,0
3,9,8,0,4,0,4,9532,1,4,6758,1,4,12601,1,4,6467,1
4,81,30,4,3,6,7,6047677,1,7,7731245,1,8,9991362,1,10,13907692,1
4,124,32,17,6,25,10,10906255,1,19,32221114,1,23,39233256,1,14,20525911,1
4,30,18,0,6,0,4,437702,1,3,464418,1,6,436259,1,3,465718,1
3,27,18,0,4,0,4,227487,1,5,663752,1,4,522853,1,4,1061378,1
4,97,28,6,3,3,7,5793914,1,9,11855941,1,19,20405239,1,8,8578849,1
4,100,32,8,5,11,10,9216910,0,12,18414402,1,17,29728978,1,11,14817187,1
3,13,9,0,9,0,4,47091,1,4,24255,1,4,31002,1,4,57288,1
3,24,14,0,3,0,4,133631,1,4,362014,1,4,124345,1,4,139509,1
