Number of leaf symbols,States in word automata,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
4,4,138,13,6,2,8,8,9067968,1,13,15728325,1,9,9545750,1,9,8150032,1
2,5,69,21,2,3,6,8,6995157,1,11,13572366,1,12,15708141,1,11,13585854,1
2,3,24,6,0,1,0,4,60406,1,4,55482,1,4,58558,1,4,70878,1
2,4,44,12,0,3,0,0,65408,0,5,1106715,1,5,1098172,1,5,2486164,1
2,5,50,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,3,24,6,0,2,0,3,75748,1,3,49488,1,3,57337,1,3,51939,1
2,6,84,26,2,3,14,17,21972377,1,18,25921496,1,20,31661532,1,13,13521561,1
2,4,39,13,0,3,0,5,945776,1,5,902473,1,5,768598,1,5,753020,1
2,5,86,17,1,3,3,7,6673307,1,12,9989108,1,9,8437727,1,10,10461716,1
4,3,23,6,0,3,0,3,31684,1,2,66383,1,3,110410,1,3,40828,1
2,5,48,16,0,2,0,6,2453951,1,5,986080,1,6,3642324,1,5,1901525,1
2,9,173,8,0,4,0,4,13795,1,4,17873,1,4,11688,1,4,12750,1
4,3,27,6,0,2,0,3,65227,1,2,53691,1,3,63600,1,2,64027,1
4,3,24,6,0,1,0,3,39170,1,3,43009,1,3,109610,1,2,43009,1
4,4,31,9,0,2,0,3,180003,1,3,276479,1,3,136699,1,3,117011,1
3,5,68,14,0,4,2,4,2508434,1,4,2188581,1,5,3981870,1,4,2466699,1
4,4,68,12,0,1,1,3,1298195,1,4,2429110,1,5,5638266,1,4,3532011,1
3,4,51,13,0,1,1,4,1053638,1,4,1975486,1,3,1069468,1,4,1975486,1
3,5,156,19,9,3,14,14,17082125,1,28,39516011,1,48,94192701,1,27,39516014,1
2,5,88,17,2,1,3,8,6522605,1,8,4338355,1,8,8014970,1,8,4338355,1
4,5,70,15,0,1,1,4,2198155,1,4,2912329,1,4,3648545,1,4,2912329,1
3,5,134,21,8,2,15,12,11213762,1,30,47563049,1,32,63361478,1,24,36553126,1
4,3,21,6,0,1,0,2,33714,1,2,42784,1,2,33809,1,2,42784,1
3,4,116,12,3,1,9,6,4416515,1,12,14352946,1,7,7051666,1,7,5400424,1
3,7,97,25,5,2,19,8,8305739,1,32,62285311,1,31,57370241,0,25,43985952,1
2,7,81,22,2,5,8,7,6604985,1,19,30131961,1,10,12361253,1,11,11607992,1
4,3,24,6,0,1,0,3,41524,1,2,38171,1,3,181385,1,2,38171,1
2,4,128,13,5,3,7,12,13869923,1,47,81361459,1,10,9008587,1,10,7332155,1
3,5,68,15,0,1,2,4,1954419,1,5,3736888,1,5,5679007,1,5,3736888,1
3,3,27,8,0,5,0,3,175943,1,3,115133,1,3,76514,1,3,74190,1
2,5,47,17,0,3,1,5,1620048,1,6,2525240,1,0,51013,0,6,2655554,1
2,7,73,17,0,3,0,5,1385694,1,6,844167,1,5,1847854,1,5,844167,1
2,6,114,25,10,2,45,17,29115588,1,0,127979,0,5,13155849,0,0,2076476,0
4,5,115,15,3,2,5,6,4851009,1,9,9515701,1,12,20138568,1,10,12404823,1
4,4,20,10,0,2,0,3,87253,0,2,68889,1,0,295,0,2,123449,1
2,5,164,21,17,3,109,21,27508486,1,32,29717263,1,26,36670598,1,38,48862011,1
4,4,70,12,0,2,1,5,2569177,1,0,82,0,4,2422932,1,5,4821450,1
3,4,176,12,12,2,15,14,11680699,1,41,53567107,1,15,14190294,1,20,19645615,1
2,4,39,13,0,4,0,5,906564,1,5,1328419,1,5,1300832,1,5,704538,1
3,5,28,10,0,4,0,3,107909,1,3,122370,1,3,111571,1,3,181999,1
2,5,31,12,0,3,0,5,602085,1,5,495462,1,5,876161,1,4,222134,1
2,6,60,10,0,2,0,5,745470,1,5,389041,1,5,1116589,1,5,992137,1
3,5,191,22,31,5,61,53,101880039,1,42,45828701,1,45,74047598,1,55,85410786,1
3,4,78,13,1,3,6,5,2009908,1,5,2388091,1,6,5538628,1,4,1786654,1
2,5,89,20,2,1,6,8,7116933,1,11,9594372,1,17,25801912,1,13,16038248,1
4,4,22,6,0,3,0,3,127722,1,2,23269,1,2,20279,1,2,19104,1
4,4,81,12,1,2,2,3,1531810,0,0,146764,0,5,5191937,1,5,3656568,1
3,3,24,6,0,1,0,3,53923,1,3,49216,1,3,44900,1,3,179198,1
2,8,118,34,12,3,101,25,41883462,0,61,119285385,1,28,48934066,0,126,205283542,1
3,4,62,13,0,3,1,0,91216,0,6,6107021,1,5,3602657,1,4,2620154,1
2,5,40,16,0,1,0,6,2948526,1,5,1027754,1,5,1049597,1,5,1094964,1
4,3,24,6,0,2,0,2,64463,1,3,72273,1,3,53323,1,2,57727,1
2,6,98,19,2,3,8,10,12325726,1,9,4528066,1,10,9889243,1,14,17820172,1
4,4,176,13,13,1,15,14,11756138,1,18,12435056,1,90,175614151,1,16,12435056,1
4,4,89,12,1,2,3,0,4887,0,7,6259720,1,4,3302131,1,6,5400799,1
3,5,169,17,15,1,22,16,21057974,1,24,24377977,1,26,40661745,1,22,24378000,1
3,3,24,6,0,1,0,3,60458,1,3,111772,1,3,54577,1,3,46475,1
4,5,158,20,14,2,53,10,12734730,0,70,136534693,1,54,107255715,1,1,2845938,0
3,3,24,6,0,3,0,3,128492,1,3,76041,1,3,72563,1,3,73554,1
3,5,138,20,11,2,11,15,17531983,1,14,11469614,1,37,71521241,1,13,11469614,1
4,4,145,12,5,2,7,8,6226447,1,10,5849846,1,9,9661595,1,9,6075238,1
